Count;min;max;total;avg;funktion
1;1,050783;1,050783;1,050783;1,050783;class vwg.omd.nw2.mis.services.impl.MisServiceImpl MisServiceImpl.getMisStandardCases(..)
1;0,034140;0,034140;0,034140;0,034140;class vwg.omd.nw2.web.jsf.model.layout.AreaSubnavDefaultModel AreaSubnavDefaultModel.getDealerPortalUrl()
1;0,000058;0,000058;0,000058;0,000058;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setAuthenticated(..)
3;0,000007;0,000062;0,000076;0,000025;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getTenant()
1;1,185183;1,185183;1,185183;1,185183;class vwg.omd.nw2.services.navi_service_client.common.impl.NavigationServiceClientImpl NavigationServiceClientImpl.getHtmlContentForMainNaviRegion(..)
1;0,000383;0,000383;0,000383;0,000383;class vwg.omd.nw2.web.commons.JSFUtilImpl JSFUtilImpl.getRequestPath()
3;0,000219;0,000369;0,000819;0,000273;class vwg.omd.nw2.web.jsf.model.layout.AreaSubnavDefaultModel AreaSubnavDefaultModel.getAppId()
2;0,000113;0,000584;0,000697;0,000349;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getDeploymentStage()
18;0,000736;0,001843;0,020400;0,001133;class vwg.omd.nw2.services.logging.impl.LoggingServiceImpl LoggingServiceImpl.trace(..)
8;0,001502;0,002382;0,014179;0,001772;class vwg.omd.nw2.web.mis.gui.MISBean MISBean.getPeriodData()
3;0,000005;0,000049;0,000059;0,000020;class vwg.omd.nw2.commons.tenants.impl.NewadaCurrentTenantProvider NewadaCurrentTenantProvider.setTenant(..)
7;0,000003;0,000033;0,000059;0,000008;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getUserId()
1;0,000070;0,000070;0,000070;0,000070;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.addAuthorizedPage(..)
1;0,913244;0,913244;0,913244;0,913244;class vwg.omd.nw2.mis.services.impl.MisServiceImpl MisServiceImpl.getFavoritesForUser(..)
1;0,004423;0,004423;0,004423;0,004423;class vwg.omd.nw2.web.mis.enums.MisReportPeriodYearController MisReportPeriodYearController.getMisReportPeriodYears()
6;0,001528;0,001647;0,009454;0,001576;class vwg.omd.nw2.web.mis.gui.MISBeanData MISBeanData.getMisReportType()
2;0,060366;0,578174;0,638540;0,319270;class vwg.omd.nw2.services.authorization.impl.AuthorizationServiceImpl AuthorizationServiceImpl.hasPrivilege(..)
150;0,000134;0,005800;0,096683;0,000645;class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getProperty(..)
1;0,004976;0,004976;0,004976;0,004976;class vwg.omd.nw2.services.authorization.impl.Nw2UserIdentity Nw2UserIdentity.isLoggedIn()
1;0,035862;0,035862;0,035862;0,035862;class vwg.omd.nw2.persistence.impl.mis.MisDaoImpl MisDaoImpl.getMisFavoritesFor(..)
2;0,000165;0,000395;0,000560;0,000280;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getClientAppTransactionID()
1;0,006861;0,006861;0,006861;0,006861;class vwg.omd.nw2.services.navi_service_client.common.impl.postprocess.MainNaviRegionSetActiveNaviPathHandlerImpl MainNaviRegionSetActiveNaviPathHandlerImpl.populateNaviPathEndOverrideMaps(..)
3;0,009010;10,524389;10,543480;3,514493;class vwg.omd.nw2.web.security.dealerportal.authorization.AuthorizationFilter AuthorizationFilter.doFilter(..)
2;0,000110;0,000272;0,000382;0,000191;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getClientAppName()
1;0,000030;0,000030;0,000030;0,000030;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getAreaNaviNaviServiceSelectionMode()
25;0,000137;0,005873;0,026958;0,001078;class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getBooleanProperty(..)
1;0,000033;0,000033;0,000033;0,000033;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getOuId()
1;1,550560;1,550560;1,550560;1,550560;class vwg.omd.nw2.web.base.navi.service.NaviAreaContentSwitchBean NaviAreaContentSwitchBean.getNavigation()
5;0,000004;0,003716;0,003736;0,000747;class vwg.omd.nw2.web.commons.FacesContextProviderImpl FacesContextProviderImpl.getCurrentFacesContext()
2;0,000117;0,000435;0,000552;0,000276;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getNewadaDotNetHostUrlAsObserved()
1;0,000027;0,000027;0,000027;0,000027;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setInitialized(..)
3;0,000008;0,000013;0,000030;0,000010;class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getStage()
1;0,008695;0,008695;0,008695;0,008695;class vwg.omd.nw2.services.userdata.impl.init.UserDataServiceImpl UserDataServiceImpl.createUserData(..)
1;0,371200;0,371200;0,371200;0,371200;class vwg.omd.nw2.services.dealerportal.DealerPortalServiceImpl DealerPortalServiceImpl.isAnnounced(..)
3;0,000219;0,000272;0,000728;0,000243;class vwg.omd.nw2.web.jsf.model.layout.AreaSubnavDefaultModel AreaSubnavDefaultModel.getAuthToken()
1;0,180915;0,180915;0,180915;0,180915;class vwg.omd.nw2.services.authorization.impl.AuthorizationServiceImpl AuthorizationServiceImpl.getDealerForPrivilege(..)
2;0,001772;0,043139;0,044911;0,022456;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getNewadaDotNetHostUrlAsConfiguredForStage()
253;0,001479;0,009114;0,487822;0,001928;class vwg.omd.nw2.web.mis.gui.MISBeanData MISBeanData.getDealersAndDistricts()
2;0,000006;0,000029;0,000035;0,000018;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.setAuthToken(..)
84;0,000633;0,001889;0,082237;0,000979;class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getStringPropertyValueForDefaultTenant(..)
3;0,000010;0,006109;0,006130;0,002043;class vwg.omd.nw2.web.commons.JSFUtilImpl JSFUtilImpl.getLocale()
1;0,000028;0,000028;0,000028;0,000028;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getUserVcsId()
5;0,000002;0,000030;0,000043;0,000009;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getClientAppProcess()
1;0,725818;0,725818;0,725818;0,725818;class vwg.omd.nw2.persistence.impl.mis.MisDaoImpl MisDaoImpl.getMisStandardCases(..)
1;0,000032;0,000032;0,000032;0,000032;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.setUserDataModel(..)
1;0,000028;0,000028;0,000028;0,000028;class vwg.omd.nw2.web.jsf.model.layout.AreaSubnavDefaultModel AreaSubnavDefaultModel.getShowEnvelopeSymbol()
2;0,028065;0,077435;0,105500;0,052750;class vwg.omd.nw2.persistence.impl.mis.MisDaoImpl MisDaoImpl.searchDistrictsForMis(..)
2;0,000114;0,000284;0,000398;0,000199;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getGuidOfCurrentUser()
2;0,000002;0,000032;0,000034;0,000017;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getAreaFooterNaviServiceSelectionMode()
1;0,001529;0,001529;0,001529;0,001529;class vwg.omd.nw2.web.mis.gui.MisPeriodDataBean MisPeriodDataBean.getSelectedUntilPeriod()
4;0,029197;0,447509;0,545253;0,136313;class vwg.omd.nw2.persistence.impl.authorization.system.AuthorizationUserDaoImpl AuthorizationUserDaoImpl.searchUser(..)
1;0,997358;0,997358;0,997358;0,997358;class vwg.omd.nw2.services.authorization.impl.AuthorizationServiceImpl AuthorizationServiceImpl.getRegionsForPrivilege(..)
3;0,000002;0,000026;0,000030;0,000010;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getAppId()
1244;0,000020;0,000113;0,033435;0,000027;class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getBooleanProperty(..)
2;0,000004;0,000031;0,000035;0,000018;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getAppId()
1;0,409252;0,409252;0,409252;0,409252;class vwg.omd.nw2.mis.services.impl.MisServiceImpl MisServiceImpl.getDealersForUser(..)
8;0,000003;0,000370;0,000398;0,000050;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.isTraining()
2;0,001709;0,002769;0,004478;0,002239;class vwg.omd.nw2.web.mis.gui.MisPeriodDataBean MisPeriodDataBean.getMisReportPeriodUnit()
2;0,001583;0,002121;0,003704;0,001852;class vwg.omd.nw2.web.mis.gui.MISBean MISBean.getAvailablePeriods()
2;0,001635;0,004958;0,006593;0,003297;class vwg.omd.nw2.web.mis.gui.MisPeriodDataBean MisPeriodDataBean.getMisReportPeriodYear()
2;0,001108;0,005885;0,006993;0,003496;class vwg.omd.nw2.commons.util.XMLUtilsImpl XMLUtilsImpl.createNewDocument()
1;0,207623;0,207623;0,207623;0,207623;class vwg.omd.nw2.services.navi_service_client.common.impl.postprocess.MainNaviRegionSetActiveNaviPathHandlerImpl MainNaviRegionSetActiveNaviPathHandlerImpl.markActiveNavigationPath(..)
2;0,000002;0,000028;0,000030;0,000015;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getUserLastName()
2;0,000233;0,000380;0,000613;0,000307;class vwg.omd.nw2.web.jsf.model.layout.AreaSubnavDefaultModel AreaSubnavDefaultModel.getUserLastName()
1;0,146136;0,146136;0,146136;0,146136;class vwg.omd.nw2.persistence.impl.mis.MisDaoImpl MisDaoImpl.getAdditionalDealerInformation(..)
2;0,000002;0,000316;0,000318;0,000159;class vwg.omd.nw2.services.userdata.impl.UserDataQueryServiceImpl UserDataQueryServiceImpl.getUserFirstName()
1;0,508805;0,508805;0,508805;0,508805;class vwg.omd.nw2.services.item_allowed.ItemAllowedServiceImpl ItemAllowedServiceImpl.isAllowed(..)
1;1,189145;1,189145;1,189145;1,189145;class vwg.omd.nw2.mis.services.impl.MisServiceImpl MisServiceImpl.getDistrictsForUser(..)
3;0,000030;0,553866;0,553930;0,184643;class vwg.omd.nw2.web.security.dealerportal.authorization.PageAuthorizationCheckerImpl PageAuthorizationCheckerImpl.checkPageAuthorization(..)
2;0,016499;0,070128;0,086627;0,043314;class vwg.omd.nw2.services.navi_service_client.common.impl.sitemap_model.parse.NavigationServiceResponseParserImpl NavigationServiceResponseParserImpl.getParsedSiteMapFromW3CDocument(..)
97;0,000115;0,000383;0,020175;0,000208;class vwg.omd.nw2.services.configuration.RemoteConfigurationService RemoteConfigurationService.insertNullValueIntoCache(..)
3;0,018988;11,647272;11,686547;3,895516;class vwg.omd.nw2.web.exception_handling.ExceptionFilter ExceptionFilter.doFilter(..)
2;0,000109;0,000270;0,000379;0,000190;class vwg.omd.nw2.web.navi_service_client.impl.DefaultNavigationServiceUsageContextImpl DefaultNavigationServiceUsageContextImpl.getClientAppProcess()
3;0,000002;0,000026;0,000032;0,000011;class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.getEffectiveTenant()
1;0,001737;0,001737;0,001737;0,001737;class vwg.omd.nw2.services.authorization.impl.AuthorizationServiceImpl AuthorizationServiceImpl.getDatabaseAuthorizationChecker(..)
