[Profiler] | 0,000485 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getProperty(..) | 19.02.2014 16:53:37.094 | 19.02.2014 16:53:37.095
[Profiler] | 0,007972 |vwg.omd.nw2 | class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getStringPropertyValue(..) | 19.02.2014 16:53:37.087 | 19.02.2014 16:53:37.095
[Profiler] | 0,371200 |vwg.omd.nw2 | class vwg.omd.nw2.services.dealerportal.DealerPortalServiceImpl DealerPortalServiceImpl.isAnnounced(..) | 19.02.2014 16:53:37.081 | 19.02.2014 16:53:37.452
[Profiler] | 0,000080 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.452 | 19.02.2014 16:53:37.452
[Profiler] | 0,000009 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.readProperty(..) | 19.02.2014 16:53:37.453 | 19.02.2014 16:53:37.453
[Profiler] | 0,000355 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.453 | 19.02.2014 16:53:37.453
[Profiler] | 0,000071 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.LocalConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.453 | 19.02.2014 16:53:37.453
[Profiler] | 0,000007 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.caching.ClientPropertyCache ClientPropertyCache.readProperty(..) | 19.02.2014 16:53:37.454 | 19.02.2014 16:53:37.454
[Profiler] | 0,000366 |vwg.omd.nw2 | class vwg.omd.nw2.services.configuration.RemoteConfigurationService AbstractConfigurationService.getBooleanProperty(..) | 19.02.2014 16:53:37.454 | 19.02.2014 16:53:37.454
[Profiler] | 0,002370 |vwg.omd.nw2 | class vwg.omd.nw2.services.config.impl.Nw2ConfigurationServiceImpl Nw2ConfigurationServiceImpl.getBooleanPropertyValue(..) | 19.02.2014 16:53:37.452 | 19.02.2014 16:53:37.454
[Profiler] | 0,000004 |vwg.omd.nw2 | class vwg.omd.nw2.web.client.context.impl.WebClientContextImpl WebClientContextImpl.isTraining() | 19.02.2014 16:53:37.455 | 19.02.2014 16:53:37.455
